0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59
2 4 0 5 1 3 11 10 9 8 7 6 14 13 12 17 18 15 16 20 19 21 23 22 27 29 28 24 26 25 32 34 30 35 31 33 36 38 37 41 42 39 40 44 43 45 47 46 52 53 51 50 48 49 58 57 59 55 54 56
2 8 0 15 9 17 14 27 1 4 24 12 11 36 6 3 31 5 34 23 22 45 20 19 10 35 44 7 43 33 51 16 50 29 18 25 13 42 40 55 38 57 37 28 26 21 53 49 59 47 32 30 56 46 58 39 52 41 54 48
0 9 2 17 8 15 12 24 4 1 27 14 6 36 11 5 34 3 31 22 23 45 19 20 7 33 43 10 44 35 50 18 51 25 16 29 13 40 42 57 37 55 38 26 28 21 49 53 56 46 30 32 59 47 54 41 48 39 58 52
3 0 4 1 5 2 10 11 7 6 9 8 13 14 12 19 15 18 20 16 17 23 21 22 26 28 29 25 27 24 35 30 34 32 33 31 37 38 36 44 39 42 43 41 40 46 47 45 51 48 52 49 53 50 56 54 55 59 57 58
17 0 8 9 15 2 27 14 24 12 1 4 36 11 6 22 5 31 23 34 3 20 45 19 43 44 35 33 10 7 29 50 16 51 25 18 40 42 13 28 57 38 26 55 37 49 53 21 32 56 59 46 47 30 48 54 41 52 39 58
5 2 1 4 3 0 7 6 10 11 8 9 13 12 14 20 17 16 19 18 15 22 21 23 28 26 25 29 24 27 33 32 31 30 35 34 38 37 36 43 41 40 44 39 42 47 46 45 50 52 48 53 49 51 59 58 57 56 55 54
1 3 5 0 2 4 9 8 11 10 6 7 14 12 13 16 19 20 17 15 18 22 23 21 29 27 24 28 25 26 31 35 33 34 32 30 38 36 37 40 44 43 41 42 39 47 45 46 49 51 53 48 50 52 55 56 54 58 59 57
1 10 5 20 11 16 14 29 2 3 28 13 9 38 7 4 32 0 35 23 21 47 15 18 8 34 42 6 39 30 53 17 48 27 19 26 12 44 41 58 36 56 37 24 25 22 51 52 54 45 31 33 57 46 55 43 49 40 59 50
5 11 1 16 10 20 13 28 3 2 29 14 7 38 9 0 35 4 32 21 23 47 18 15 6 30 39 8 42 34 48 19 53 26 17 27 12 41 44 56 37 58 36 25 24 22 52 51 57 46 33 31 54 45 59 40 50 43 55 49
20 1 11 10 16 5 28 13 29 14 3 2 38 7 9 23 4 35 21 32 0 18 47 15 42 39 30 34 6 8 26 53 19 48 27 17 44 41 12 25 58 37 24 56 36 51 52 22 33 54 57 45 46 31 49 55 43 50 40 59
